hash,image_count,image_paths
e5e56314e4255cfd24f57e838fbe610f,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG-20251122-WA0009.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG-20251122-WA0009.jpg
d1924c4d74765f1ddaf5ec0b0fbf20ae,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG-20251122-WA0010.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG-20251122-WA0010.jpg
50adbd827a9b00c4df40b88c66a99f56,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG-20251122-WA0011.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG-20251122-WA0011.jpg
54aded048a0a34e0ba627cf811171b10,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG-20251122-WA0012.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG-20251122-WA0012.jpg
292f01f66ee041ec27cf958573d522e4,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG-20251122-WA0013.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG-20251122-WA0013.jpg
533b8ac43f54739f85319446f209d3cc,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG-20251122-WA0014.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG-20251122-WA0014.jpg
c86d837c9041aab06a737979d500decc,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG-20251122-WA0015.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG-20251122-WA0015.jpg
5255a916f00d5d3d6630b6a8bb1b7b33,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Orange(1-9)/IMG_20251116_220609831_HDR.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Semi fresh Orange(9-20)/IMG_20251116_220609831_HDR.jpg
49556b133d600362ddd9c8e2180c4700,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Papaya(1-4)/aug_124_IMG_20251123_012946.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Papaya(1-4)/IMG_20251123_012946.jpg
d3b32b10ec32b4d8724a8c03b84f8731,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Papaya(1-4)/aug_430_IMG_20260116_030551.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Papaya(1-4)/IMG_20260116_030551.jpg
91ba7e6f493cee301a577f0968643f0e,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Papaya(1-4)/aug_70_IMG_20251121_081111.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Fresh Papaya(1-4)/IMG_20251121_081111.jpg
831083098f4dd9cf1d0ae406ef5ca49f,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Rotten Bittermelon(5-8)/aug_92_IMG_20260122_003428.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Rotten Bittermelon(5-8)/IMG_20260122_003428.jpg
a3b688a3eb236bc79d41ffcfdcb211ef,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Rotten Orange(20-35)/aug_276_IMG-20251230-WA0034.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Rotten Orange(20-35)/IMG-20251230-WA0034.jpg
2fcf72391a91c13595513ec92c7fa3fe,2,D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Rotten Orange(20-35)/aug_98_IMG-20251114-WA0004.jpg ; D:/VIT TY SEM5/ML Project/FOODFRESHAI/data/raw/AgriFreshNET Freshness and Shelf-Life Image Datase/Processed Data/Processed Data/Rotten Orange(20-35)/IMG-20251114-WA0004.jpg
