epoch,stage,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,Stage 1 (Classifier Head),0.47474918521519544,85.25001205458315,0.18042346513855048,94.09807608852886,0.001
2,Stage 1 (Classifier Head),0.17415031763813194,92.95530160567047,0.10835810866447765,96.41255605381166,0.001
3,Stage 1 (Classifier Head),0.13327443622597418,94.26523297491039,0.07934321473606155,97.39621003905685,0.001
4,Stage 2 (Fine-tuning),0.026881636308912778,98.80900718453157,0.0016593064406324172,99.97106900043397,0.0001
5,Stage 2 (Fine-tuning),0.006675971995776956,99.74926467042769,0.0004324781817945088,99.98553450021697,0.0001
